query大小 | 时间 | 测试集编号,1,2,3,4,5,6,7,8,9,avg,
10 10,12,13,11,10,11,13,13,10,11,12,11.6
10 15,13,13,13,13,13,13,13,13,10,13,12.7
10 20,13,13,13,13,13,13,12,12,13,13,12.8
10 25,13,13,13,12,13,13,13,13,12,12,12.7
10 30,13,13,13,14,13,13,13,14,14,14,13.4
11 11,15,14,15,15,15,15,15,14,14,15,14.7
11 16,13,13,13,13,13,13,12,13,12,13,12.8
11 22,14,13,14,14,14,14,14,14,14,14,13.9
11 27,13,13,13,13,13,13,13,13,13,13,13
11 33,14,14,14,13,14,13,14,14,14,14,13.8
12 12,12,12,12,13,13,13,13,13,12,13,12.6
12 18,12,13,13,12,13,13,13,13,13,13,12.8
12 24,13,12,13,12,13,13,12,13,13,13,12.7
12 30,14,13,14,14,14,13,14,14,14,14,13.8
12 36,13,12,13,13,13,13,13,13,13,14,13
13 13,13,13,12,13,13,13,13,13,13,13,12.9
13 19,12,13,12,13,13,13,13,13,13,13,12.8
13 26,13,13,13,13,13,13,13,13,13,13,13
13 32,13,13,13,13,12,13,12,13,13,13,12.8
13 39,13,12,13,13,13,13,13,13,13,12,12.8
14 14,13,13,13,13,13,13,13,13,13,12,12.9
14 21,13,13,13,13,13,12,13,13,13,13,12.9
14 28,12,13,13,13,13,13,14,13,13,13,13
14 35,13,13,13,12,13,13,13,13,13,13,12.9
14 42,13,13,13,13,13,12,13,13,13,13,12.9
15 15,14,14,14,14,14,14,13,13,14,13,13.7
15 22,13,13,13,13,12,13,12,14,12,13,12.8
15 30,13,13,13,13,13,13,13,13,13,11,12.8
15 37,11,11,11,11,11,11,11,11,11,11,11
15 45,11,11,11,10,11,11,11,11,11,11,10.9
16 16,12,13,12,13,13,13,13,13,13,13,12.8
16 24,10,11,13,12,12,10,12,11,11,11,11.3
16 32,11,10,10,11,11,11,11,11,11,10,10.7
16 40,11,11,11,11,10,11,11,10,11,11,10.8
16 48,11,11,11,11,12,11,10,12,13,13,11.5
17 17,12,12,12,13,12,13,12,12,12,13,12.3
17 25,13,12,12,12,12,12,12,12,12,12,12.1
17 34,12,12,13,12,12,12,12,12,12,13,12.2
17 42,12,13,13,13,13,13,13,13,13,13,12.9
17 51,13,13,13,13,13,13,13,13,13,13,13
18 18,12,12,13,13,13,13,13,13,13,12,12.7
18 27,14,14,14,14,14,14,14,14,14,14,14
18 36,13,13,13,13,13,13,13,13,13,12,12.9
18 45,13,13,12,13,13,13,13,13,13,13,12.9
18 54,13,13,13,13,13,13,13,13,13,13,13
19 19,12,13,13,13,13,13,13,13,13,13,12.9
19 28,17,18,18,17,18,18,18,18,18,18,17.8
19 38,13,13,13,13,13,13,13,13,13,12,12.9
19 47,14,13,13,13,13,13,13,12,13,12,12.9
19 57,14,14,14,14,14,14,13,14,14,14,13.9
20 20,14,14,14,14,14,13,15,14,14,14,14
20 30,13,13,14,13,12,13,13,13,13,13,13
20 40,13,13,13,13,13,13,13,13,13,13,13
20 50,14,14,14,13,14,14,14,14,14,14,13.9
20 60,14,13,13,13,13,13,13,13,13,13,13.1
4 10,25,24,25,24,24,25,24,24,25,25,24.5
4 12,38,38,37,38,38,40,37,38,37,38,37.9
4 4,33,32,32,32,32,32,32,32,32,32,32.1
4 6,14,14,14,14,14,14,14,14,13,14,13.9
4 8,14,14,14,14,14,13,14,13,14,14,13.8
5 10,25,25,25,25,25,25,25,26,25,25,25.1
5 12,16,16,16,16,16,16,15,16,16,15,15.8
5 15,25,25,25,25,25,25,25,25,25,25,25
5 5,25,26,26,26,26,25,25,26,26,26,25.7
5 7,15,15,15,14,15,15,15,15,15,15,14.9
6 12,13,12,13,12,13,13,13,13,13,13,12.8
6 15,13,13,13,13,13,13,13,12,13,13,12.9
6 18,13,13,13,13,12,13,12,13,13,12,12.7
6 6,27,26,26,26,26,26,26,26,27,26,26.2
6 9,14,13,14,14,14,14,14,14,14,13,13.8
7 10,13,13,13,13,12,12,13,12,13,13,12.7
7 14,16,16,16,15,15,16,16,16,16,16,15.8
7 17,14,14,14,14,13,14,14,13,14,14,13.8
7 21,15,15,15,15,14,15,15,15,15,15,14.9
7 7,13,14,14,14,14,14,14,13,14,13,13.7
8 12,14,14,12,12,11,12,12,13,11,12,12.3
8 16,12,13,11,12,12,12,12,13,12,12,12.1
8 20,14,15,15,15,15,15,15,15,15,15,14.9
8 24,11,12,12,11,12,13,12,12,12,12,11.9
8 8,11,12,11,11,11,11,11,11,11,11,11.1
9 13,15,15,15,14,14,15,14,15,15,15,14.7
9 18,12,11,11,11,12,11,11,11,12,10,11.2
9 22,10,11,10,11,11,11,10,12,11,11,10.8
9 27,11,11,10,10,10,11,11,11,11,11,10.7
9 9,26,28,27,27,28,28,28,27,28,27,27.4
