query大小 | 时间 | 测试集编号,0,1,2,3,4,5,6,7,8,9,avg
10 10,2.011,1.954,1.881,1.891,1.938,1.95,1.953,2.006,2.034,2.013,1.9631
10 15,2.627,2.625,2.814,2.613,2.792,2.809,2.699,2.651,2.799,2.772,2.7201
10 20,3.504,3.557,3.173,3.551,3.192,3.453,3.482,3.472,3.536,3.539,3.4459
10 25,2.053,2.122,2.247,1.973,2.45,1.931,2.02,2.019,2.1,2.016,2.0931
10 30,2.84,2.825,2.97,2.932,2.869,2.845,3.023,2.916,2.679,3.065,2.8964
11 11,2.381,2.218,2.241,2.372,2.384,2.241,2.392,2.316,2.311,2.263,2.3119
11 16,3.107,2.887,3.196,3.624,2.646,2.875,3.103,2.903,3.126,2.715,3.0182
11 22,2.395,2.489,2.291,2.284,2.431,2.31,2.232,2.268,2.533,2.219,2.3452
11 27,3.632,4.036,3.597,3.605,3.815,4.032,3.528,3.7,3.918,3.668,3.7531
11 33,4.325,4.104,4.035,4.65,4.233,4.214,3.971,3.776,3.867,3.952,4.1127
12 12,2.835,2.631,2.838,2.781,2.773,2.649,2.675,2.65,2.811,2.591,2.7234
12 18,2.682,2.893,2.9,2.729,2.678,2.669,2.838,2.49,2.61,2.684,2.7173
12 24,3.921,3.69,3.649,3.951,4.411,3.804,3.567,3.601,3.432,3.766,3.7792
12 30,6.447,5.442,6.508,5.586,6.466,6.524,6.481,5.637,5.583,6.388,6.1062
12 36,3.983,4.433,5.001,4.528,5.308,4.412,5.197,5.025,4.43,4.234,4.6551
13 13,4.25,4.631,4.191,4.27,4.475,4.035,4.924,4.704,4.109,4.846,4.4435
13 19,4.29,3.916,3.77,3.689,3.704,3.932,3.96,3.749,3.806,3.843,3.8659
13 26,3.541,3.561,3.467,3.465,3.478,3.426,3.522,3.514,3.451,3.455,3.488
13 32,5.083,5.15,5.026,4.982,5.205,5.057,5.175,5.196,5.024,5.013,5.0911
13 39,4.75,4.746,4.726,4.691,4.772,4.846,4.758,4.8,4.824,4.754,4.7667
14 14,2.853,2.895,2.866,2.85,2.791,2.856,2.689,2.926,2.843,2.842,2.8411
14 21,5.176,5.261,5.161,5.036,5.003,5.118,5.204,5.231,5.316,5.042,5.1548
14 28,4.741,4.665,4.809,4.847,4.773,4.678,4.635,4.721,4.746,4.627,4.7242
14 35,6.288,5.436,5.361,5.271,5.492,5.097,5.35,5.348,5.42,5.442,5.4505
14 42,3.938,3.75,3.946,3.86,4.655,4.026,3.906,4.113,3.945,3.565,3.9704
15 15,2.674,2.521,3.037,2.948,2.726,2.797,2.994,2.818,2.864,3.064,2.8443
15 22,3.763,4.418,3.955,4.453,3.731,4.504,4.343,3.937,4.754,4.693,4.2551
15 30,5.09,5.198,5.786,5.075,5.925,5.424,5.398,5.606,5.067,5.122,5.3691
15 37,7.847,7.148,6.993,7.854,6.928,6.913,7.84,6.635,7.896,6.495,7.2549
15 45,4.996,5.798,4.903,4.877,5.662,6.398,5.831,4.95,5.095,5.671,5.4181
16 16,8.961,6.436,6.879,7.757,6.565,7.668,7.362,6.505,6.628,6.35,7.1111
16 24,4.81,4.911,4.896,4.906,4.409,4.922,4.159,4.311,4.888,4.089,4.6301
16 32,7.459,6.305,7.424,6.525,7.432,6.253,7.658,6.197,7.928,6.001,6.9182
16 40,5.667,5.977,6.776,6.261,6.845,6.852,6.876,5.826,5.739,6.085,6.2904
16 48,4.28,3.774,3.777,3.87,4.085,4.058,4.18,4.16,4,4.337,4.0521
17 17,3.12,3.253,3.119,3.239,3.009,3.068,3.104,3.049,3.351,3.081,3.1393
17 25,6.182,4.92,5.443,4.742,5.43,5.457,5.428,5.496,5.374,4.7,5.3172
17 34,6.487,6.661,7.392,7.296,6.46,6.991,7.827,6.818,7.702,6.577,7.0211
17 42,8.668,8.454,7.542,7.324,8.475,7.252,9.059,8.868,7.167,7.277,8.0086
17 51,7.383,5.813,7.36,5.816,5.882,5.985,5.671,5.759,6.339,6.624,6.2632
18 18,6.291,6.142,6.16,5.93,6.013,6.031,6.158,6.131,6.013,5.924,6.0793
18 27,5.982,5.805,5.82,5.725,5.617,5.748,5.787,5.778,5.549,5.53,5.7341
18 36,7.843,7.821,7.657,7.868,7.983,7.808,7.932,7.641,7.919,7.781,7.8253
18 45,10.758,10.595,10.664,10.539,10.532,10.6,10.569,10.766,10.785,10.809,10.6617
18 54,9.511,9.461,9.631,11.164,9.882,11.312,9.722,9.696,9.687,11.271,10.1337
19 19,2.974,2.815,2.804,2.824,3.048,3.078,2.841,2.854,2.819,3.058,2.9115
19 28,4.823,5.48,5.252,4.742,5.39,5.403,4.649,5.22,4.75,5.339,5.1048
19 38,6.432,6.431,6.664,6.835,7.195,7.056,6.627,7.274,7.045,6.135,6.7694
19 47,8.783,10.176,8.248,10.009,10.267,10.173,8.684,12.911,8.707,10.18,9.8138
19 57,6.907,5.896,6.794,5.604,6.818,5.611,6.756,5.684,5.669,6.838,6.2577
20 20,2.814,3.066,2.863,3.097,3.124,2.81,3.114,3.06,2.764,3.055,2.9767
20 30,5.434,5.313,6.106,6.193,5.307,6.15,5.463,5.579,7.55,5.518,5.8613
20 40,8.56,7.436,7.57,8.476,8.043,8.516,7.128,7.673,8.44,7.013,7.8855
20 50,12.374,12.497,11.302,12.266,12.479,10.688,12.281,10.618,10.707,10.837,11.6049
20 60,8.941,7.996,9.114,7.909,10.062,9.367,9.645,7.955,7.954,10.261,8.9204
4 10,0.738,0.743,0.905,0.718,0.704,0.757,0.764,0.743,0.747,0.713,0.7532
4 12,1.009,1.025,1.084,1.088,1.068,1.052,1.076,1.077,1.009,1.082,1.057
4 4,0.537,0.51,0.524,0.513,0.513,0.516,0.651,0.541,0.518,0.537,0.536
4 6,1.144,1.155,1.149,1.173,1.189,1.144,1.125,1.171,1.165,1.037,1.1452
4 8,1.533,1.611,1.824,1.489,1.483,1.481,1.497,1.584,1.422,1.576,1.55
5 10,1.782,1.712,1.78,1.875,1.749,1.736,1.803,1.856,1.724,1.708,1.7725
5 12,1.371,1.371,1.434,1.297,1.45,1.325,1.374,1.426,1.446,1.348,1.3842
5 15,1.871,1.741,2.006,1.786,1.877,1.837,1.756,1.94,1.93,1.836,1.858
5 5,0.951,1.156,0.941,0.912,0.964,0.975,0.877,0.982,0.936,0.925,0.9619
5 7,1.128,1.063,1.091,1.108,1.138,1.174,1.124,1.148,1.105,1.161,1.124
6 12,1.795,2.009,1.792,1.786,1.838,1.975,1.803,1.708,1.735,1.88,1.8321
6 15,1.169,1.183,1.163,1.22,1.114,1.164,1.183,1.185,1.201,1.242,1.1824
6 18,2.096,1.903,2.112,2.262,1.86,2.109,1.882,2.056,2.047,1.882,2.0209
6 6,1.526,1.823,1.414,1.462,1.51,1.423,1.477,1.375,1.478,1.501,1.4989
6 9,1.318,1.319,1.504,1.404,1.303,1.51,1.414,1.6,1.364,1.449,1.4185
7 10,1.439,1.476,1.592,1.487,1.469,1.543,1.506,1.572,1.45,1.558,1.5092
7 14,1.511,1.486,1.433,1.439,1.5,1.46,1.35,1.401,1.807,1.395,1.4782
7 17,3.692,3.247,3.745,3.656,3.275,3.517,3.196,3.676,3.327,3.658,3.4989
7 21,1.812,1.886,1.701,1.969,1.752,1.777,1.841,1.69,1.843,1.808,1.8079
7 7,1.292,1.343,1.398,1.397,1.451,1.388,1.437,1.46,1.343,1.365,1.3874
8 12,2.055,1.953,1.963,2.091,2.034,2.076,2.115,2.043,2.111,1.996,2.0437
8 16,3.519,3.596,3.5,3.436,3.538,3.508,3.651,3.49,3.567,3.515,3.532
8 20,1.625,1.599,1.524,1.87,1.576,1.916,1.668,1.57,1.555,1.713,1.6616
8 24,2.795,3.033,2.865,3.044,2.7,2.763,2.979,2.746,3.11,2.984,2.9019
8 8,1.308,1.304,1.38,1.383,1.392,1.289,1.512,1.548,1.351,1.328,1.3795
9 13,2.623,2.814,2.614,2.708,2.65,2.594,2.514,2.504,2.465,2.487,2.5973
9 18,2.491,2.521,2.614,2.469,2.486,2.479,2.383,2.279,2.355,2.474,2.4551
9 22,1.616,1.601,1.576,1.673,1.657,1.571,1.739,1.579,1.471,1.563,1.6046
9 27,2.627,2.486,2.554,2.501,2.522,2.446,2.56,2.567,2.406,2.609,2.5278
9 9,2.68,2.762,2.911,2.77,2.811,2.807,2.718,2.797,2.832,2.744,2.7832
