query大小 | 时间 | 测试集编号,0,1,2,3,4,5,6,7,8,9,avg
10 10,15,18,15,16,15,16,15,16,15,16,15.7
10 15,16,14,16,16,15,15,15,15,14,15,15.1
10 20,15,13,12,12,12,13,12,12,12,13,12.6
10 25,12,13,13,13,12,12,13,13,14,12,12.7
10 30,4,4,4,4,5,5,4,5,5,4,4.4
11 11,15,14,15,16,15,14,14,16,15,15,14.9
11 16,11,11,11,13,11,11,11,11,11,11,11.2
11 22,10,11,11,12,10,11,11,11,10,10,10.7
11 27,12,12,12,13,13,12,12,12,13,13,12.4
11 33,11,10,12,11,11,10,12,11,11,11,11
12 12,16,15,16,16,16,16,16,16,16,16,15.9
12 18,11,10,11,11,10,11,11,11,11,10,10.7
12 24,11,11,12,12,11,12,12,11,11,12,11.5
12 30,11,11,12,11,11,11,11,11,11,11,11.1
12 36,11,11,11,12,12,11,11,11,11,12,11.3
13 13,8,8,8,8,8,8,8,8,8,8,8
13 19,12,12,12,12,12,12,12,11,12,12,11.9
13 26,14,14,14,14,15,14,14,13,15,14,14.1
13 32,17,15,15,17,20,16,16,16,15,15,16.2
13 39,14,14,14,15,15,14,15,15,15,16,14.7
14 14,5,5,5,5,5,5,5,5,5,5,5
14 21,15,14,14,15,14,16,15,16,16,14,14.9
14 28,8,8,8,8,8,8,8,8,7,8,7.9
14 35,5,5,5,4,5,5,5,5,4,4,4.7
14 42,12,12,13,13,13,13,12,12,13,12,12.5
15 15,13,13,13,13,13,13,13,13,13,13,13
15 22,14,15,15,15,15,16,14,15,15,15,14.9
15 30,15,15,15,14,15,15,15,15,15,15,14.9
15 37,15,14,15,15,15,15,14,14,15,15,14.7
15 45,13,13,13,12,12,13,13,13,12,13,12.7
16 16,13,16,16,15,16,16,16,15,15,16,15.4
16 24,5,6,5,5,6,5,6,5,6,5,5.4
16 32,5,5,5,5,5,5,5,5,5,5,5
16 40,13,13,13,13,13,13,14,13,15,13,13.3
16 48,17,18,17,18,18,18,18,18,17,18,17.7
17 17,19,19,22,19,17,20,19,19,19,19,19.2
17 25,17,17,15,16,16,16,16,15,16,16,16
17 34,14,13,14,14,14,13,14,14,15,14,13.9
17 42,15,15,15,15,15,15,15,15,15,15,15
17 51,5,5,5,5,5,5,5,6,5,5,5.1
18 18,14,13,14,14,14,14,14,14,13,14,13.8
18 27,15,14,14,14,14,15,14,14,14,15,14.3
18 36,14,13,14,14,14,14,14,14,14,14,13.9
18 45,7,6,7,7,7,7,7,7,6,6,6.7
18 54,14,14,14,14,15,14,14,14,14,14,14.1
19 19,18,19,18,19,19,18,19,18,18,18,18.4
19 28,4,4,4,5,5,4,5,5,4,5,4.5
19 38,8,8,8,8,8,9,8,8,9,8,8.2
19 47,15,15,15,15,15,14,15,15,15,14,14.8
19 57,16,16,17,17,17,17,16,16,17,16,16.5
20 20,14,15,15,14,15,14,15,15,15,15,14.7
20 30,5,5,5,5,5,5,5,4,5,5,4.9
20 40,5,5,5,5,4,5,5,4,5,4,4.7
20 50,14,15,15,15,15,15,15,16,14,15,14.9
20 60,15,15,15,15,16,15,16,14,15,15,15.1
4 10,15,15,15,16,16,15,15,15,15,15,15.2
4 12,19,18,17,16,15,15,15,17,15,18,16.5
4 4,14,13,13,13,13,14,13,14,13,14,13.4
4 6,10,9,9,10,9,9,9,9,10,11,9.5
4 8,15,16,16,17,17,17,17,17,16,17,16.5
5 10,16,16,16,17,16,16,16,16,16,16,16.1
5 12,12,11,12,12,11,12,11,12,12,12,11.7
5 15,12,12,12,12,12,13,11,12,12,12,12
5 5,5,5,5,5,5,5,5,5,5,5,5
5 7,11,11,11,11,11,12,11,11,10,10,10.9
6 12,11,11,11,12,14,12,11,11,11,11,11.5
6 15,8,9,8,8,9,8,8,8,8,8,8.2
6 18,11,11,13,11,11,11,11,12,11,11,11.3
6 6,14,13,14,14,13,14,14,14,14,14,13.8
6 9,12,12,12,12,13,13,11,12,12,13,12.2
7 10,8,9,9,9,9,9,9,9,9,9,8.9
7 14,14,14,15,15,15,15,15,15,15,15,14.8
7 17,12,11,11,12,12,12,11,13,12,12,11.8
7 21,17,17,17,17,17,17,21,16,17,17,17.3
7 7,14,14,14,14,14,14,15,14,14,15,14.2
8 12,15,15,15,15,15,15,16,17,17,16,15.6
8 16,13,12,12,13,13,15,15,13,13,13,13.2
8 20,13,13,13,13,13,13,13,13,13,13,13
8 24,11,11,12,11,12,11,11,11,11,11,11.2
8 8,10,10,10,10,9,10,10,10,9,10,9.8
9 13,13,13,13,13,13,13,13,13,14,14,13.2
9 18,13,13,12,12,12,12,12,13,12,13,12.4
9 22,14,14,14,14,14,15,14,15,15,16,14.5
9 27,12,12,12,12,12,12,12,12,12,12,12
9 9,12,12,12,12,12,12,13,14,13,12,12.4
