query大小 | 时间 | 测试集编号,0,1,2,3,4,5,6,7,8,9,avg
10 10,9.955,9.919,9.921,8.971,8.87,8.93,9.921,9.885,9.07,9.791,9.5233
10 15,9.187,10.66,8.733,10.305,10.321,10.294,10.208,10.292,10.293,9.081,9.9374
10 20,7.852,7.859,7.985,8.063,7.845,8.054,7.697,8.004,7.97,8.078,7.9407
10 25,8.218,9.19,9.165,8.328,9.126,8.893,7.946,8.14,8.206,9.052,8.6264
10 30,16.628,16.814,17.507,17.192,17.381,14.529,17.412,14.628,17.417,17.41,16.6918
11 11,11.568,11.601,11.435,11.556,10.175,10.139,9.978,11.456,11.519,11.732,11.1159
11 16,9.57,9.546,10.507,9.659,10.466,9.629,10.388,9.618,10.627,10.519,10.0529
11 22,6.155,6.115,8.845,6.14,5.913,6.117,5.961,6.111,5.969,6.109,6.3435
11 27,14.878,13.213,14.757,13.161,14.632,13.143,13.25,14.595,14.742,14.58,14.0951
11 33,8.23,8.056,8.176,8.302,8.132,7.434,7.544,8.208,8.29,8.149,8.0521
12 12,7.375,7.493,8.252,7.617,7.631,7.613,7.67,7.639,7.568,8.268,7.7126
12 18,9.207,10.133,10.328,9.345,10.107,9.334,9.17,9.248,9.125,10.138,9.6135
12 24,10.607,10.718,9.823,10.81,9.666,9.816,9.73,10.837,10.687,10.602,10.3296
12 30,20.893,22.895,22.824,22.924,19.66,19.831,23.007,22.98,19.676,20.539,21.5229
12 36,8.584,8.331,8.253,8.518,8.235,8.065,8.209,8.531,8.601,8.144,8.3471
13 13,9.023,9.104,9.228,9.182,9.209,8.394,8.525,8.518,9.088,9.151,8.9422
13 19,11.287,11.267,12.337,11.356,11.135,11.855,12.376,12.437,11.229,12.259,11.7538
13 26,10.823,10.731,9.788,9.76,10.652,9.768,10.72,9.686,10.736,10.752,10.3416
13 32,88.388,88.345,88.235,87.61,87.549,87.557,87.464,88.076,88.138,88.348,87.971
13 39,22.873,23.006,22.845,18.318,22.9,18.222,22.735,18.162,18.105,18.235,20.5401
14 14,10.102,10.123,9.458,10.116,10.047,10.193,9.058,10.157,10.157,9.515,9.8926
14 21,13.356,13.12,13.343,13.337,13.38,15.766,13.38,15.818,16.233,15.699,14.3432
14 28,14.999,15.048,14.913,17.357,14.891,17.6,17.483,15.102,14.829,17.356,15.9578
14 35,9.27,9.844,9.765,9.8,9.686,9.884,9.047,9.665,8.979,9.826,9.5766
14 42,21.573,21.628,18.079,21.565,18.02,18.047,21.415,18.312,21.59,18.146,19.8375
15 15,43.969,40.056,39.734,48.718,40,39.818,39.942,40.448,39.718,39.992,41.2395
15 22,19.646,19.575,16.757,19.501,19.615,19.529,16.699,16.752,17.104,19.694,18.4872
15 30,10.601,12.121,12.084,12.087,10.611,12.126,12.039,12.034,10.609,10.6,11.4912
15 37,29.922,24.327,24.271,24.67,29.874,24.433,24.55,24.111,29.943,29.936,26.6037
15 45,18.735,18.729,21.813,21.673,18.83,21.574,21.62,18.673,18.469,18.625,19.8741
16 16,10.926,11.764,11.753,11.02,11.758,12.15,10.965,10.941,11.736,11.927,11.494
16 24,16.963,14.873,16.829,16.84,16.828,16.952,16.672,16.817,16.728,14.956,16.4458
16 32,15.391,13.679,15.489,15.235,13.73,15.405,15.282,15.384,13.836,15.434,14.8865
16 40,14.32,14.163,14.319,12.946,14.377,14.267,12.962,12.967,14.477,12.961,13.7759
16 48,11.751,12.426,12.331,11.567,12.356,11.618,12.383,11.28,12.302,12.437,12.0451
17 17,14.486,14.512,12.753,12.718,14.523,14.53,12.683,14.545,14.615,14.489,13.9854
17 25,10.586,10.132,10.176,9.554,10.333,9.322,9.668,9.565,10.285,9.813,9.9434
17 34,21.864,22.136,21.996,18.6,18.431,21.813,21.606,22.065,19.3,17.059,20.487
17 42,15.147,15.034,14.224,14.915,15.04,13.404,13.18,12.937,14.981,14.964,14.3826
17 51,26.734,26.9,22.512,26.931,22.361,34.654,22.43,22.398,22.584,26.951,25.4455
18 18,10.636,10.591,10.632,9.625,10.522,10.669,10.66,9.55,10.749,9.532,10.3166
18 27,14.171,15.656,14.196,14.203,16.294,16.026,14.004,16.303,14.014,14.137,14.9004
18 36,23.709,20.122,20.002,23.572,20.24,23.199,21.414,23.586,23.384,20.058,21.9286
18 45,22.758,22.848,20.172,22.867,22.773,20.001,20.115,22.625,20.07,19.92,21.4149
18 54,19.061,19.216,19.324,16.366,16.367,16.15,19.327,19.019,19.391,16.339,18.056
19 19,13.15,11.632,12.933,13.06,12.916,11.565,11.623,11.6,11.653,11.715,12.1847
19 28,18.848,19.001,18.641,18.969,19.429,15.963,16.058,15.888,18.922,15.96,17.7679
19 38,15.206,16.45,15.161,16.51,16.427,16.431,15.208,16.467,16.277,15.345,15.9482
19 47,17.037,17.098,14.886,17.171,17.035,14.93,14.969,17.196,17.046,17.047,16.4415
19 57,19.544,17.136,19.585,19.707,16.972,17.088,17.182,17.036,19.439,17.358,18.1047
20 20,17.003,15.15,15.266,16.978,15.215,16.944,16.86,16.909,15.184,15.174,16.0683
20 30,26.806,22.064,26.917,22.036,26.664,26.798,22.033,22.109,26.533,26.784,24.8744
20 40,31.112,30.806,30.906,25.502,30.951,25.71,30.914,25.607,30.865,30.888,29.3261
20 50,23.353,19.762,23.405,19.753,19.855,23.374,23.357,23.554,19.669,23.191,21.9273
20 60,28.229,24.235,24.82,29.098,25.233,28.585,28.852,24.572,28.526,28.648,27.0798
4 10,3.306,3.275,3.615,3.598,3.614,3.547,3.298,3.272,3.287,3.583,3.4395
4 12,3.871,3.37,3.826,3.839,3.839,3.93,3.875,3.878,3.761,3.838,3.8027
4 4,2.34,2.204,2.268,2.227,2.305,2.225,2.234,2.243,2.217,2.214,2.2477
4 6,1.969,1.937,1.954,1.966,1.911,1.927,1.983,1.922,1.979,1.99,1.9538
4 8,2.035,1.981,1.983,1.973,2.004,2.018,2.016,1.975,1.939,2.047,1.9971
5 10,2.875,2.884,2.834,2.862,2.904,2.902,2.919,2.943,2.932,2.852,2.8907
5 12,1.935,1.967,1.956,1.911,1.941,1.928,1.96,1.891,1.871,1.951,1.9311
5 15,3.53,3.438,3.208,3.471,3.455,3.415,3.509,3.198,3.182,3.201,3.3607
5 5,3.47,3.29,3.479,3.477,3.454,3.374,3.399,3.49,3.404,3.498,3.4335
5 7,3.401,3.421,3.399,4.473,3.312,3.344,3.425,3.301,3.512,3.352,3.494
6 12,4.708,4.725,4.685,4.734,4.593,4.659,4.775,4.663,4.787,4.779,4.7108
6 15,8.254,7.926,7.78,8.196,7.863,8.084,7.876,8.135,8.201,7.73,8.0045
6 18,3.95,4.086,3.941,4.024,4.049,4.025,3.999,3.967,3.957,3.796,3.9794
6 6,6.5,6.509,6.42,6.559,6.555,5.773,6.53,6.506,5.86,6.53,6.3742
6 9,6.578,6.654,6.672,6.693,6.524,6.617,6.631,6.685,6.667,6.743,6.6464
7 10,8.028,7.438,7.467,7.406,8.041,7.433,7.469,8.059,8.052,7.418,7.6811
7 14,6.424,6.311,6.386,6.304,6.564,6.659,6.288,6.345,6.673,6.79,6.4744
7 17,8.087,8.114,7.456,8.142,7.992,7.989,7.345,7.41,7.443,7.392,7.737
7 21,5.311,5.233,5.334,5.266,5.319,5.291,5.291,5.323,5.251,5.238,5.2857
7 7,3.819,3.864,3.831,3.77,3.872,3.893,3.671,3.816,3.95,3.882,3.8368
8 12,9.568,7.865,8.42,8.333,8.279,8.285,9.618,8.343,9.643,8.291,8.6645
8 16,6.682,6.806,6.808,9.306,8.457,8.325,9.245,8.463,9.289,8.361,8.1742
8 20,7.969,8.077,8.104,7.921,8.051,8.072,7.835,7.955,8.051,8.099,8.0134
8 24,8.027,7.404,7.936,7.49,7.343,8.052,7.517,7.978,7.425,7.498,7.667
8 8,4.937,5.015,4.909,5.142,4.986,5.07,5.014,5.031,5.055,5.079,5.0238
9 13,13.997,12.407,13.988,13.889,13.868,12.317,12.308,12.274,12.379,12.27,12.9697
