query大小 | 时间 | 测试集编号,0,1,2,3,4,5,6,7,8,9,avg
10 10,37,36,37,37,37,37,36,36,37,37,36.7
10 15,55,54,55,58,53,55,54,56,55,55,55
10 20,49,48,49,49,45,45,45,43,43,45,46.1
10 25,63,64,63,63,62,62,62,63,62,62,62.6
10 30,44,45,44,44,45,44,44,45,48,44,44.7
11 11,29,30,30,30,30,30,30,29,30,30,29.8
11 16,74,74,74,75,75,76,75,84,75,74,75.6
11 22,60,54,57,55,55,54,55,58,54,54,55.6
11 27,74,73,80,73,74,73,73,73,74,74,74.1
11 33,64,64,64,64,64,64,64,66,64,64,64.2
12 12,43,48,44,42,41,42,42,42,42,42,42.8
12 18,46,45,45,46,45,46,45,47,45,45,45.5
12 24,63,63,63,63,64,63,64,63,66,63,63.5
12 30,56,56,56,56,56,56,57,57,56,55,56.1
12 36,48,49,49,50,50,48,50,48,49,49,49
13 13,37,37,38,37,37,37,37,37,37,37,37.1
13 19,58,57,59,57,58,58,58,58,58,58,57.9
13 26,68,67,67,68,78,68,67,76,67,67,69.3
13 32,43,43,43,43,43,43,43,43,43,43,43
13 39,27,27,27,27,27,27,31,27,27,27,27.4
14 14,32,31,31,32,32,32,32,31,32,31,31.6
14 21,44,43,44,44,43,43,43,43,43,43,43.3
14 28,47,47,47,47,48,47,48,48,47,47,47.3
14 35,33,33,33,33,33,34,34,34,34,34,33.5
14 42,52,52,53,52,53,52,52,52,52,52,52.2
15 15,63,61,74,62,61,61,62,63,61,61,62.9
15 22,61,57,57,57,57,63,57,57,57,57,58
15 30,61,40,40,39,43,40,39,40,39,40,42.1
15 37,43,44,48,45,43,43,43,43,43,43,43.8
15 45,48,49,49,49,49,49,49,49,49,49,48.9
16 16,76,75,70,70,71,69,71,71,71,70,71.4
16 24,64,64,64,64,65,65,64,64,64,64,64.2
16 32,66,66,67,66,69,66,66,66,66,67,66.5
16 40,64,65,65,65,64,65,64,65,65,65,64.7
16 48,33,36,33,33,32,34,33,32,32,34,33.2
17 17,84,81,81,81,81,87,82,81,78,80,81.6
17 25,36,35,37,35,36,39,36,35,36,35,36
17 34,44,44,44,44,43,43,44,44,73,70,49.3
17 42,53,52,53,53,52,53,54,53,52,54,52.9
17 51,47,48,47,48,47,48,48,47,47,48,47.5
18 18,50,50,50,50,49,49,50,50,50,50,49.8
18 27,76,76,77,77,75,76,76,76,76,77,76.2
18 36,50,54,51,51,51,51,51,50,51,51,51.1
18 45,49,50,49,48,49,49,49,49,49,49,49
18 54,57,57,58,58,58,58,57,58,58,58,57.7
19 19,51,51,52,51,52,52,51,51,51,51,51.3
19 28,72,66,66,67,72,66,66,66,66,66,67.3
19 38,64,64,72,64,64,65,64,64,64,65,65
19 47,59,59,59,60,59,59,59,60,59,59,59.2
19 57,66,66,66,65,65,65,66,65,67,66,65.7
20 20,41,40,40,42,41,40,40,39,40,40,40.3
20 30,66,66,66,66,65,67,67,66,66,66,66.1
20 40,85,86,86,85,86,86,97,86,86,85,86.8
20 50,64,65,64,64,65,64,64,65,64,65,64.4
20 60,56,58,55,56,56,57,56,55,56,56,56.1
4 10,17,17,17,16,17,17,17,17,16,17,16.8
4 12,18,18,18,18,18,18,18,18,18,18,18
4 4,17,17,17,17,17,17,17,18,17,18,17.2
4 6,17,17,17,16,16,16,17,17,17,17,16.7
4 8,20,20,20,20,20,20,20,20,20,20,20
5 10,22,23,22,22,23,23,22,22,22,22,22.3
5 12,20,20,20,20,19,20,20,20,19,20,19.8
5 15,22,22,22,22,22,22,22,22,22,22,22
5 5,22,21,22,22,22,21,22,22,22,22,21.8
5 7,21,21,21,20,21,21,21,21,21,21,20.9
6 12,37,37,38,38,39,37,38,39,36,36,37.5
6 15,51,50,50,51,51,51,51,51,51,52,50.9
6 18,37,37,36,37,37,36,38,37,37,37,36.9
6 6,26,24,27,24,25,24,26,26,23,26,25.1
6 9,57,56,56,57,56,56,55,56,56,56,56.1
7 10,49,50,49,49,49,49,55,49,49,49,49.7
7 14,48,48,48,47,49,48,49,48,47,47,47.9
7 17,57,59,57,58,57,59,58,58,57,57,57.7
7 21,40,39,40,40,40,42,39,40,39,40,39.9
7 7,32,31,31,31,33,33,32,32,32,33,32
8 12,39,39,39,39,39,38,39,39,39,39,38.9
8 16,59,41,41,41,41,40,41,41,40,41,42.6
8 20,51,52,51,51,51,51,52,52,52,51,51.4
8 24,57,58,57,57,57,57,58,59,58,58,57.6
8 8,43,42,42,42,44,43,43,42,42,42,42.5
9 13,59,57,57,57,57,58,57,57,57,58,57.4
9 18,49,40,42,41,42,41,42,42,42,41,42.2
9 22,57,57,57,56,56,57,57,57,58,59,57.1
9 27,55,56,56,55,55,55,55,56,55,54,55.2
9 9,26,26,26,25,28,28,26,26,27,28,26.6
