query大小 | 时间 | 测试集编号,0,1,2,3,4,5,6,7,8,9,avg
10 10,654,653,644,663,653,664,646,653,675,680,658.5
10 15,653,679,659,657,665,670,681,657,656,650,662.7
10 20,366,338,395,456,460,332,442,467,462,361,407.9
10 25,324,341,332,293,340,339,341,306,297,304,321.7
10 30,649,722,956,649,668,651,657,679,682,672,698.5
11 11,614,669,583,593,603,591,597,576,570,567,596.3
11 16,775,789,745,778,773,788,762,782,759,757,770.8
11 22,613,581,616,592,588,636,616,599,610,601,605.2
11 27,714,701,700,710,692,704,673,701,715,712,702.2
11 33,344,293,396,292,285,355,295,351,365,286,326.2
12 12,602,603,615,603,617,615,630,612,620,599,611.6
12 18,959,615,910,902,912,899,903,921,926,906,885.3
12 24,1054,1076,1041,1071,1043,1046,1092,1055,1077,1073,1062.8
2 30,913,938,904,899,897,921,910,911,898,900,909.1
12 36,958,940,935,968,934,948,963,969,962,935,951.2
13 13,940,725,782,759,804,776,944,898,921,949,849.8
13 19,418,387,425,377,413,367,424,420,376,386,399.3
13 26,736,609,706,742,743,723,710,702,735,729,713.5
13 32,654,636,634,632,624,653,633,610,650,660,638.6
13 39,835,528,867,819,899,855,835,828,813,813,809.2
14 14,732,625,748,724,714,735,737,743,736,720,721.4
14 21,559,535,541,526,533,531,529,550,539,525,536.8
14 28,639,388,402,393,404,413,418,381,416,412,426.6
14 35,395,481,396,459,427,459,458,402,452,466,439.5
14 42,516,797,544,532,553,534,543,546,526,530,562.1
15 15,881,777,898,862,882,851,857,884,839,859,859
15 22,895,489,905,882,843,883,871,895,859,885,840.7
15 30,603,960,596,576,570,545,572,610,561,603,619.6
15 37,555,771,534,543,556,574,574,536,543,530,571.6
15 45,356,520,396,388,462,470,401,463,361,379,419.6
16 16,408,556,389,392,393,396,417,377,401,406,413.5
16 24,683,619,654,701,679,674,673,675,684,669,671.1
16 32,599,345,508,489,475,567,506,492,589,492,506.2
16 40,458,513,395,425,465,431,441,404,472,395,439.9
16 48,988,748,968,980,983,971,946,986,964,977,951.1
17 17,664,501,451,461,618,581,633,647,607,582,574.5
17 25,347,528,339,346,345,334,357,345,362,357,366
17 34,587,741,739,737,765,728,736,604,600,593,683
17 42,628,521,469,620,620,496,636,486,624,488,558.8
17 51,811,737,841,829,831,785,817,813,844,828,813.6
18 18,843,819,835,837,841,830,854,819,811,854,834.3
18 27,693,587,729,727,718,726,742,745,700,731,709.8
18 36,813,584,839,847,839,847,820,835,835,826,808.5
18 45,574,581,660,656,696,585,616,609,578,615,617
18 54,671,682,586,617,577,665,697,704,712,681,659.2
19 19,725,884,766,786,748,710,729,734,722,730,753.4
19 28,639,645,644,677,651,651,670,685,679,681,662.2
19 38,980,766,897,887,899,940,961,952,960,991,923.3
19 47,773,573,734,726,747,727,756,743,738,717,723.4
19 57,655,636,673,659,677,676,679,679,647,650,663.1
20 20,957,761,752,773,1005,987,997,962,977,1003,917.4
20 30,859,784,663,700,688,672,840,828,797,820,765.1
20 40,774,755,741,771,770,786,730,771,724,772,759.4
20 50,610,789,626,641,653,610,639,639,608,643,645.8
20 60,534,716,531,546,535,542,518,528,526,524,550
4 10,284,220,291,294,218,240,200,202,206,202,235.7
4 12,289,236,200,238,236,243,203,239,236,283,240.3
4 4,303,273,276,191,286,275,198,197,201,288,248.8
4 6,281,202,243,199,277,265,277,282,234,200,246
4 8,238,272,281,239,214,210,238,237,237,240,240.6
5 10,247,272,349,240,317,240,287,315,311,240,281.8
5 12,273,348,276,279,246,275,276,279,280,278,281
5 15,354,273,391,238,352,355,245,247,237,398,309
5 5,280,240,379,254,401,243,400,279,397,399,327.2
5 7,273,279,239,273,248,245,283,275,244,245,260.4
6 12,367,401,357,420,345,401,350,416,356,354,376.7
6 15,323,372,311,401,284,445,317,372,322,472,361.9
6 18,703,720,706,719,702,722,699,721,718,789,719.9
6 6,310,341,388,394,348,304,312,307,313,304,332.1
6 9,276,229,234,304,232,274,231,296,227,276,257.9
7 10,701,721,694,706,716,739,729,726,716,707,715.5
7 14,317,486,329,384,317,375,390,381,374,318,367.1
7 17,661,655,659,662,674,680,675,671,658,677,667.2
7 21,320,340,401,461,415,346,405,405,350,351,379.4
7 7,713,737,721,729,736,733,723,723,721,706,724.2
8 12,416,325,426,384,454,412,486,378,454,450,418.5
8 16,514,366,568,503,403,523,451,432,514,437,471.1
8 20,353,356,449,439,393,389,385,390,399,451,400.4
8 24,259,385,258,252,258,257,250,257,255,252,268.3
8 8,406,451,337,395,383,342,414,387,342,337,379.4
9 13,462,396,410,416,415,409,471,430,412,417,423.8
9 18,714,747,695,720,720,726,760,755,755,704,729.6
9 22,321,487,321,322,358,318,379,287,362,364,351.9
9 27,564,571,556,574,571,576,562,536,570,553,563.3
9 9,493,421,621,532,526,511,515,492,493,535,513.9
