query大小 | 时间 | 测试集编号 ,0,1,2,3,4,5,6,7,8,9,avg
10 10,0.728,0.713,0.779,0.786,0.741,0.85,0.773,0.791,0.811,0.803,0.7775
10 15,1.087,1.075,0.999,1.081,1.066,1.097,1.03,1.018,1.059,1.067,1.0579
10 20,1.046,1.019,1.1,1.089,1.003,1.061,1.059,1.088,1.106,1.135,1.0706
10 25,0.851,0.808,0.821,0.855,0.841,0.881,0.879,0.837,0.785,0.809,0.8367
10 30,1.064,1.063,1.097,1.061,1.088,1.106,1.108,1.05,1.108,1.08,1.0825
11 11,0.657,0.713,0.698,0.716,0.71,0.746,0.711,0.685,0.689,0.661,0.6986
11 16,1.316,1.337,1.208,1.244,1.364,1.163,1.27,1.284,1.252,1.282,1.272
11 22,1.478,1.468,1.385,1.496,1.335,1.356,1.439,1.498,1.468,1.416,1.4339
11 27,0.652,0.713,0.725,0.702,0.717,0.749,0.644,0.685,0.717,0.695,0.6999
11 33,0.694,0.777,0.739,0.738,0.779,0.761,0.785,0.725,0.77,0.759,0.7527
12 12,0.699,0.713,0.663,0.733,0.68,0.649,0.716,0.647,0.678,0.668,0.6846
12 18,1.21,1.276,1.274,1.208,1.182,1.212,1.225,1.203,1.258,1.227,1.2275
12 24,1.02,1.079,1.136,1.136,1.101,1.038,1.171,1.137,1.135,1.115,1.1068
12 30,1.355,1.311,1.369,1.354,1.303,1.351,1.334,1.303,1.247,1.391,1.3318
12 36,1.329,1.069,1.086,0.99,0.985,1.074,0.929,1.091,1.061,0.881,1.0495
13 13,1.177,1.246,1.218,1.207,1.163,1.269,1.101,1.162,1.214,1.243,1.2
13 19,1.338,1.309,1.264,1.33,1.251,1.346,1.3,1.293,1.281,1.331,1.3043
13 26,1.115,1.167,1.19,1.193,1.177,1.132,1.175,1.145,1.209,1.153,1.1656
13 32,1.753,1.658,1.704,1.733,1.741,1.796,1.724,1.64,1.694,1.686,1.7129
13 39,1.845,1.827,1.682,1.747,1.758,1.802,1.704,1.682,1.84,1.804,1.7691
14 14,0.958,0.852,0.917,0.916,0.756,0.864,0.861,0.827,0.851,0.925,0.8727
14 21,1.268,1.28,1.29,1.31,1.293,1.308,1.325,1.298,1.268,1.221,1.2861
14 28,1.107,1.058,1.036,1.055,1.064,1.099,1.102,1.103,1.128,1.172,1.0924
14 35,1.223,1.293,1.254,1.283,1.308,1.203,1.232,1.281,1.3,1.222,1.2599
14 42,1.062,1.028,1.067,1.068,1.033,0.972,1.032,1.122,1.047,1.027,1.0458
15 15,2.12,1.802,1.887,1.849,1.858,1.88,1.752,1.808,1.868,1.877,1.8701
15 22,1.601,1.681,1.579,1.427,1.465,1.52,1.559,1.538,1.583,1.537,1.549
15 30,2.117,2.19,2.097,2.143,2.178,2.186,2.102,2.126,2.181,2.231,2.1551
15 37,1.875,1.795,1.763,1.756,1.968,1.74,1.844,1.765,1.808,1.791,1.8105
15 45,2.152,2.01,2.341,2.159,2.142,2.127,2.181,2.155,2.148,2.286,2.1701
16 16,1.49,1.325,1.426,1.351,1.418,1.309,1.399,1.34,1.328,1.397,1.3783
16 24,1.398,1.465,1.472,1.38,1.235,1.406,1.433,1.393,1.293,1.408,1.3883
16 32,1.157,1.128,1.197,1.219,1.081,1.12,1.113,1.125,1.076,1.124,1.134
16 40,1.45,1.825,1.604,1.513,1.489,1.587,1.463,1.499,1.344,1.438,1.5212
16 48,1.172,1.206,1.097,1.144,1.154,1.009,1.086,0.963,0.966,1.086,1.0883
17 17,1.108,1.018,1.008,1.055,1.071,1.031,1,1.065,1.048,1.024,1.0428
17 25,1.28,1.163,1.253,1.376,1.187,1.158,1.466,1.183,1.451,1.29,1.2807
17 34,1.699,1.741,1.677,1.75,1.768,1.757,1.647,1.721,1.625,1.807,1.7192
17 42,1.953,1.979,2.06,1.992,1.891,1.96,1.978,2.029,1.979,2.041,1.9862
17 51,1.864,1.79,1.871,1.991,1.995,1.99,2.02,1.843,1.921,1.982,1.9267
18 18,1.011,1.006,1.012,1.194,1.021,1.167,1.016,1.066,1.049,1.039,1.0581
18 27,2.13,1.817,1.788,1.71,1.849,1.88,1.839,1.81,1.779,2.055,1.8657
18 36,2.139,2.42,2.142,2.14,2.434,2.267,2.373,2.14,2.195,2.422,2.2672
18 45,1.769,1.974,1.929,2.239,2,1.974,2.167,1.966,2.173,2.004,2.0195
18 54,1.464,1.653,1.502,1.462,1.49,1.631,1.459,1.45,1.612,1.509,1.5232
19 19,2.165,2.336,2.25,2.221,2.346,2.012,2.362,2.259,2.14,2.094,2.2185
