query大小 | 时间 | 测试集编号,0,1,2,3,4,5,6,7,8,9,avg
10 10,4,3,4,3,4,3,4,3,4,4,3.6
10 15,5,6,5,5,6,6,6,5,5,5,5.4
10 20,4,3,4,4,3,4,3,4,4,3,3.6
10 25,4,4,4,4,4,4,4,4,3,4,3.9
10 30,5,5,5,5,5,5,5,5,5,5,5
11 11,4,4,3,4,3,4,4,3,4,4,3.7
11 16,3,4,3,4,4,3,3,4,4,3,3.5
11 22,3,4,4,4,4,3,3,3,4,4,3.6
11 27,4,3,4,4,4,3,4,4,3,3,3.6
11 33,3,4,3,4,4,4,3,4,4,4,3.7
12 12,3,4,3,3,3,3,4,3,4,3,3.3
12 18,3,3,4,3,3,4,4,4,4,3,3.5
12 24,4,3,3,4,3,4,3,3,3,4,3.4
12 30,4,5,4,5,4,4,5,4,5,5,4.5
12 36,4,4,4,3,3,4,4,4,4,4,3.8
13 13,3,4,4,4,4,3,3,3,3,3,3.4
13 19,4,4,4,4,3,4,4,4,4,4,3.9
13 26,3,4,3,4,3,3,3,3,4,4,3.4
13 32,5,6,6,5,6,5,6,5,5,5,5.4
13 39,4,4,3,3,4,4,4,4,4,4,3.8
14 14,5,6,5,5,6,6,5,5,6,5,5.4
14 21,4,4,4,4,4,4,4,4,4,4,4
14 28,3,3,3,4,4,4,3,3,4,4,3.5
14 35,4,4,4,3,3,4,4,4,4,4,3.8
14 42,3,3,4,4,4,4,3,4,3,4,3.6
15 15,4,4,4,4,4,4,4,4,4,4,4
15 22,7,6,6,6,6,7,6,6,6,6,6.2
15 30,4,4,3,4,3,4,4,4,4,4,3.8
15 37,4,4,4,4,4,4,4,4,3,4,3.9
15 45,3,3,4,3,3,3,4,3,3,3,3.2
16 16,4,4,4,4,4,4,4,4,4,4,4
16 24,4,4,4,4,4,4,4,4,4,4,4
16 32,4,4,4,4,4,4,3,4,3,4,3.8
16 40,3,4,4,4,4,4,3,4,4,4,3.8
16 48,4,3,4,3,3,4,3,4,4,3,3.5
17 17,6,6,5,6,6,5,5,5,6,6,5.6
17 25,3,3,4,4,4,4,4,3,3,3,3.5
17 34,4,4,4,4,5,5,5,5,5,4,4.5
17 42,5,6,6,5,5,6,5,5,5,5,5.3
17 51,3,4,3,3,4,4,3,4,4,3,3.5
18 18,7,6,7,7,7,7,7,6,7,6,6.7
18 27,4,3,4,4,4,4,4,3,4,4,3.8
18 36,4,4,4,4,4,3,4,3,4,3,3.7
18 45,4,3,4,3,4,4,4,3,3,4,3.6
18 54,4,4,4,4,4,3,3,4,4,4,3.8
19 19,3,3,3,4,4,4,4,4,3,4,3.6
19 28,4,4,4,4,4,3,4,4,4,3,3.8
19 38,3,4,4,4,4,3,4,3,4,4,3.7
19 47,4,4,4,4,4,4,4,4,4,4,4
19 57,4,4,4,4,4,4,4,4,4,4,4
20 20,4,4,3,4,3,4,3,3,4,3,3.5
20 30,5,5,4,5,5,5,5,5,5,5,4.9
20 40,4,4,3,4,3,4,3,4,4,3,3.6
20 50,3,4,4,4,4,4,4,4,4,4,3.9
20 60,3,4,3,4,4,4,4,4,4,3,3.7
4 10,4,4,4,4,3,4,4,4,4,4,3.9
4 12,4,5,4,4,4,4,4,4,4,4,4.1
4 4,3,4,3,4,4,4,4,4,3,4,3.7
4 6,3,4,4,3,4,4,3,4,3,4,3.6
4 8,4,4,4,4,4,4,4,4,4,4,4
5 10,4,4,4,4,4,4,4,4,4,3,3.9
5 12,4,4,4,3,4,3,4,3,3,3,3.5
5 15,4,4,3,3,4,4,3,4,4,4,3.7
5 5,4,4,4,3,4,4,3,4,3,3,3.6
5 7,4,4,4,3,4,4,3,4,3,4,3.7
6 12,4,3,4,4,3,4,3,4,4,4,3.7
6 15,8,9,9,9,9,9,9,9,9,8,8.8
6 18,4,4,3,4,3,4,4,4,4,4,3.8
6 6,4,4,4,4,4,4,4,4,4,4,4
6 9,4,4,4,4,3,4,3,4,3,4,3.7
7 10,4,4,4,3,4,3,4,3,4,3,3.6
 7 14,4,4,4,4,4,4,4,4,4,4,4
7 17,3,4,3,4,3,3,4,3,3,3,3.3
7 21,4,3,4,3,4,4,3,4,3,3,3.5
 7 7,4,4,4,4,3,4,4,4,3,4,3.8
8 12,4,4,4,4,4,3,3,4,3,4,3.7
8 16,3,3,4,3,4,3,3,4,4,4,3.5
8 20,4,4,4,4,4,4,4,4,4,4,4
8 24,4,4,5,5,4,5,4,5,5,5,4.6
8 8,4,4,4,4,3,3,4,4,3,3,3.6
9 13,3,3,3,4,4,4,4,3,3,3,3.4
9 18,3,4,3,4,3,3,4,3,4,4,3.5
9 22,4,4,4,4,4,4,4,4,4,6,4.2
9 27,3,4,4,4,3,4,3,4,4,4,3.7
9 9,4,4,3,3,3,4,3,4,3,4,3.5
